inventory_id,product_id,warehouse_id,quantity_on_hand,reserved_quantity,reorder_threshold,last_restocked_date
e24c3d3d-c0c0-477d-a9b5-59d00b879fb9,e64c3401-c18c-42eb-8c88-97529fae4dc8,414c90e8-1f79-4fac-aa23-cea655b18828,1952,112,111,2024-03-09
5504567e-15ba-4160-9deb-deaa9fc4158e,e64c3401-c18c-42eb-8c88-97529fae4dc8,bd0b4a2e-3f75-46a1-bf8a-5a82594d70a4,4980,33,288,2024-02-07
c070aaa7-624b-4ea9-bbc2-cb0e3c43e87f,2d73cf5d-cc58-4661-a06c-6c7b22c83a25,90d6c40d-10d6-432b-99fe-bd1448f1aa57,3989,90,217,2024-04-02
946c352b-f26b-4ca1-9168-ecc3509830ca,2d73cf5d-cc58-4661-a06c-6c7b22c83a25,186252aa-ede5-4d43-ae8c-afa67e2d2f41,415,163,220,2024-03-25
c005e754-edf5-4fb3-8b5d-97413499b5e9,d75630e9-90d2-47af-8f20-7bb5989c4f78,186252aa-ede5-4d43-ae8c-afa67e2d2f41,3870,172,212,2024-02-06
646e771e-7dd9-47b2-95f4-3e5ac785245e,d75630e9-90d2-47af-8f20-7bb5989c4f78,2f1e95b4-aa81-4b55-926d-70531f59528d,2368,16,141,2024-02-09
a33159a2-c3dd-48bd-8c11-47ebdd800059,318b26a2-f5d7-4b4f-a72b-07926f9b2125,675870cd-1868-4277-aeba-578addec8838,2843,10,271,2024-02-08
5296e582-7dad-4bc8-8635-18a86515b735,318b26a2-f5d7-4b4f-a72b-07926f9b2125,bbc4323f-7fdc-4913-8813-74f66d90fbff,1538,153,455,2024-03-14
f377c34f-d03f-4b0b-ae40-7839986f4fde,c648ab79-ad52-4415-bf04-3af30b3572df,414c90e8-1f79-4fac-aa23-cea655b18828,1894,194,370,2024-02-23
a7a1fe38-7c51-4437-bc66-99066b34a06c,c648ab79-ad52-4415-bf04-3af30b3572df,9a7f238f-ff0a-4a46-9bc5-b76c045f34f7,1171,93,365,2024-02-29
d47276de-5565-4586-8c22-7e5a2b4e2cee,359eb2bc-ebd8-4162-a944-98b6c0f54e9d,067cb52e-60b6-4c7f-b93d-ba67d806f2e9,935,6,162,2024-03-23
bfa81734-8681-4ddd-8131-2eac0119bf4d,359eb2bc-ebd8-4162-a944-98b6c0f54e9d,186252aa-ede5-4d43-ae8c-afa67e2d2f41,1190,7,287,2024-02-18
922248a2-d5da-4106-ab8a-d7e1b87d24df,359eb2bc-ebd8-4162-a944-98b6c0f54e9d,17c4e490-aea6-450e-8341-edd09cb436b7,3284,192,255,2024-02-07
83fa76fe-0954-4c54-a98c-9e7f78f0801b,2d390613-0127-440e-8f65-7cfff40593aa,ab993ac2-3403-4413-88ca-adf00cee0973,3185,19,182,2024-03-14
51b9cb0b-c3d0-4904-bf15-dfdd03162c1a,2d390613-0127-440e-8f65-7cfff40593aa,fa42ec50-bf62-41ae-851d-68ee160f73ae,2873,56,493,2024-04-06
e441e23b-8060-414e-88ca-5ae3c70240a3,e47c6d56-99ff-477d-8c27-7201e8cd23cf,fa42ec50-bf62-41ae-851d-68ee160f73ae,3120,184,292,2024-03-27
7a27fb72-6103-42ee-9739-85cff7001f2e,0a5cc651-66e4-4e6a-b098-e7842c8cc436,067cb52e-60b6-4c7f-b93d-ba67d806f2e9,2359,157,409,2024-04-16
b04f82ce-49d2-446e-b574-53c682579eb7,0a5cc651-66e4-4e6a-b098-e7842c8cc436,9a7f238f-ff0a-4a46-9bc5-b76c045f34f7,4456,85,485,2024-04-11
c51cbd91-0d1d-4ff6-8739-5ff05dccd767,478025a4-f04b-4eb1-97e5-5380114d1723,067cb52e-60b6-4c7f-b93d-ba67d806f2e9,2908,95,491,2024-02-17
8881e647-47b1-47fa-bf99-327024b0eed9,478025a4-f04b-4eb1-97e5-5380114d1723,2f1e95b4-aa81-4b55-926d-70531f59528d,3837,33,279,2024-04-07
d862ba30-920d-43be-95f0-7fc9786fb72d,478025a4-f04b-4eb1-97e5-5380114d1723,675870cd-1868-4277-aeba-578addec8838,2065,25,276,2024-04-02
3f55522b-1293-44db-9c97-87477070da36,20b5af38-5ef7-4eaa-9820-ad650638c4bd,bd0b4a2e-3f75-46a1-bf8a-5a82594d70a4,3871,59,466,2024-04-07
6d6d0732-c23b-4929-b621-3ba487793848,20b5af38-5ef7-4eaa-9820-ad650638c4bd,bf354916-9528-4db9-8189-f6524573c41b,850,102,488,2024-03-01
e00537db-0ca1-4017-9848-6a72446ebc51,6c41ea8e-3813-45d2-b4f6-ca135c24830b,bd0b4a2e-3f75-46a1-bf8a-5a82594d70a4,2126,93,457,2024-02-14
